id,age,sex,region,income,married,children,car,save_act,current_act,mortgage,totalRisk,isApproved 
ID12103,51,FEMALE,INNER_CITY,16575.4,YES,0,YES,YES,YES,NO,4,0
ID12108,58,MALE,TOWN,24946.6,YES,0,YES,YES,YES,NO,4,0
ID12113,44,FEMALE,TOWN,15735.8,YES,1,NO,YES,YES,YES,4,0
ID12114,66,FEMALE,TOWN,55204.7,YES,1,YES,YES,YES,YES,4,0
ID12116,38,FEMALE,INNER_CITY,22342.1,YES,0,YES,YES,YES,YES,4,0
ID12117,37,FEMALE,TOWN,17729.8,YES,2,NO,NO,NO,YES,4,0
ID12141,55,MALE,TOWN,26774.2,YES,0,NO,NO,YES,YES,4,0
ID12142,47,FEMALE,INNER_CITY,26952.6,YES,0,YES,NO,YES,NO,4,0
ID12143,67,MALE,TOWN,55716.5,NO,2,YES,YES,NO,NO,4,0
ID12145,20,MALE,INNER_CITY,13740,NO,2,YES,YES,YES,YES,4,0
ID12150,47,FEMALE,RURAL,17867.3,YES,2,YES,YES,NO,NO,4,0
ID12152,36,MALE,TOWN,23894.8,YES,0,NO,NO,NO,NO,4,0
ID12155,63,MALE,TOWN,56842.5,YES,0,NO,YES,YES,YES,4,0
ID12161,42,FEMALE,INNER_CITY,24763.3,YES,1,NO,YES,YES,YES,4,0
ID12163,47,MALE,INNER_CITY,27022.6,YES,2,NO,YES,YES,NO,4,0
ID12164,20,MALE,INNER_CITY,11700.4,YES,0,NO,YES,NO,NO,4,0
ID12165,21,MALE,TOWN,5014.21,NO,0,YES,YES,YES,YES,4,0
ID12167,19,MALE,TOWN,10861,NO,2,NO,YES,YES,NO,4,0
ID12170,31,FEMALE,RURAL,10441.9,YES,2,NO,NO,YES,NO,4,0
ID12172,21,MALE,INNER_CITY,8062.73,NO,0,NO,NO,YES,NO,4,0
ID12173,36,MALE,INNER_CITY,31982,YES,3,YES,YES,YES,YES,4,0
ID12177,45,FEMALE,TOWN,26948,NO,0,NO,YES,YES,YES,4,0
ID12186,36,MALE,INNER_CITY,31683.1,YES,1,YES,YES,YES,NO,4,0
ID12187,25,FEMALE,INNER_CITY,15525,YES,0,NO,YES,YES,NO,4,0
ID12190,54,FEMALE,INNER_CITY,31095.6,YES,2,NO,NO,YES,NO,4,0
ID12198,34,MALE,TOWN,30870.8,YES,2,YES,YES,YES,YES,4,0
ID12202,27,FEMALE,INNER_CITY,11604.4,YES,2,YES,YES,YES,NO,4,0
ID12203,42,MALE,INNER_CITY,15499.9,YES,0,YES,NO,YES,YES,4,0
ID12215,56,MALE,INNER_CITY,43228.2,YES,1,YES,YES,YES,NO,4,0
ID12218,26,MALE,INNER_CITY,10044.1,YES,3,NO,YES,YES,YES,4,0
ID12222,62,FEMALE,RURAL,54863.8,YES,1,YES,YES,YES,NO,4,0
ID12223,36,FEMALE,TOWN,20799,YES,1,NO,YES,NO,YES,4,0
ID12237,20,FEMALE,INNER_CITY,14048.9,YES,2,YES,NO,YES,YES,4,0
ID12240,64,FEMALE,INNER_CITY,55263,NO,1,NO,YES,YES,NO,4,0
ID12243,28,FEMALE,TOWN,17240.6,YES,1,YES,NO,NO,YES,4,0
ID12244,64,MALE,TOWN,48974.8,YES,0,YES,YES,YES,YES,4,0
ID12246,58,MALE,SUBURBAN,51204.2,YES,0,NO,YES,NO,YES,4,0
ID12250,30,FEMALE,SUBURBAN,28240.4,YES,3,YES,YES,YES,NO,4,0
ID12251,53,MALE,RURAL,28193.6,YES,1,YES,YES,YES,NO,4,0
ID12262,40,FEMALE,INNER_CITY,12977.2,YES,0,NO,NO,NO,NO,4,0
ID12265,40,FEMALE,INNER_CITY,24904,YES,0,NO,NO,NO,NO,4,0
ID12269,37,FEMALE,TOWN,26707.5,NO,0,YES,YES,YES,NO,4,0
ID12270,56,MALE,INNER_CITY,34020.5,YES,0,NO,NO,YES,NO,4,0
ID12271,52,MALE,INNER_CITY,49175.7,YES,0,YES,YES,YES,NO,4,0
ID12275,67,FEMALE,TOWN,41558.1,YES,2,NO,YES,YES,NO,4,0
ID12279,43,MALE,INNER_CITY,15254.8,YES,0,NO,NO,NO,NO,4,0
ID12280,63,MALE,INNER_CITY,36086.1,YES,2,NO,NO,YES,NO,4,0
ID12281,22,FEMALE,INNER_CITY,17655,YES,1,NO,YES,YES,YES,4,0
ID12285,38,FEMALE,INNER_CITY,29622,NO,0,YES,YES,NO,YES,4,0
ID12286,49,MALE,RURAL,32669.9,YES,1,YES,YES,YES,YES,4,0
ID12291,67,FEMALE,SUBURBAN,63130.1,YES,2,YES,YES,YES,NO,4,0
ID12298,52,MALE,INNER_CITY,48720.3,YES,2,YES,YES,YES,NO,4,0
ID12300,26,FEMALE,INNER_CITY,20819,YES,0,NO,YES,YES,NO,4,0
ID12302,46,FEMALE,TOWN,41627.1,YES,0,NO,YES,YES,YES,4,0
ID12314,28,MALE,TOWN,13175.5,NO,1,NO,NO,YES,NO,4,0
ID12319,39,MALE,TOWN,31693.5,NO,0,YES,YES,NO,NO,4,0
ID12325,57,MALE,RURAL,49874.4,YES,3,NO,YES,YES,NO,4,0
ID12327,67,MALE,INNER_CITY,50474.6,YES,2,YES,YES,YES,NO,4,0
ID12331,59,FEMALE,INNER_CITY,30189.4,YES,0,YES,NO,YES,YES,4,0
ID12333,31,MALE,SUBURBAN,14058.5,YES,0,NO,NO,YES,YES,4,0
ID12336,49,FEMALE,INNER_CITY,16711.3,NO,1,NO,YES,YES,YES,4,0
ID12337,65,MALE,TOWN,52255.9,NO,2,YES,YES,YES,NO,4,0
ID12342,59,FEMALE,INNER_CITY,56031.1,NO,0,YES,YES,YES,NO,4,0
ID12350,36,MALE,TOWN,21332.3,YES,3,YES,NO,YES,NO,4,0
ID12351,65,MALE,INNER_CITY,57671.7,NO,0,NO,YES,YES,YES,4,0
ID12354,42,FEMALE,TOWN,17882.9,YES,1,NO,NO,NO,NO,4,0
ID12355,21,FEMALE,RURAL,10629.1,NO,3,NO,YES,YES,YES,4,0
ID12361,22,MALE,SUBURBAN,17180.2,YES,0,NO,YES,YES,NO,4,0
ID12364,60,FEMALE,INNER_CITY,46358.4,YES,0,YES,YES,YES,YES,4,0
ID12368,48,FEMALE,SUBURBAN,30396.1,NO,0,NO,YES,YES,NO,4,0
ID12373,36,MALE,TOWN,13236.4,YES,0,NO,YES,YES,NO,4,0
ID12374,31,MALE,INNER_CITY,28409.4,YES,1,YES,NO,YES,NO,4,0
ID12375,42,FEMALE,INNER_CITY,27056.5,YES,0,YES,YES,YES,NO,4,0
ID12376,18,MALE,RURAL,9362.58,YES,0,YES,NO,YES,YES,4,0
ID12377,46,FEMALE,SUBURBAN,28702.7,NO,1,NO,YES,YES,YES,4,0
ID12379,65,FEMALE,RURAL,24477.5,NO,0,NO,YES,NO,YES,4,0
ID12385,22,FEMALE,INNER_CITY,13739,YES,3,NO,YES,YES,NO,4,0
ID12390,52,FEMALE,RURAL,37162.1,YES,1,YES,YES,YES,NO,4,0
ID12391,23,MALE,INNER_CITY,13519.2,NO,0,NO,YES,YES,NO,4,0
ID12395,42,MALE,TOWN,22495.7,YES,0,NO,YES,NO,YES,4,0
ID12396,34,MALE,TOWN,32548.9,YES,0,YES,YES,YES,YES,4,0
ID12403,45,FEMALE,TOWN,29231.4,YES,0,NO,YES,NO,NO,4,0
ID12407,63,MALE,INNER_CITY,52117.3,NO,2,YES,YES,YES,NO,4,0
ID12409,48,MALE,TOWN,25683.4,NO,2,YES,YES,YES,NO,4,0
ID12411,46,MALE,TOWN,30658.7,YES,0,NO,YES,YES,NO,4,0
ID12414,18,FEMALE,RURAL,16109.9,NO,2,YES,YES,YES,NO,4,0
ID12422,35,MALE,RURAL,22882.9,YES,0,YES,NO,NO,YES,4,0
ID12423,25,FEMALE,TOWN,11043.7,YES,1,YES,YES,NO,YES,4,0
ID12424,32,MALE,TOWN,24027.6,NO,0,NO,YES,YES,NO,4,0
ID12434,48,MALE,SUBURBAN,17861,YES,2,NO,YES,YES,NO,4,0
ID12441,45,FEMALE,SUBURBAN,28864.9,YES,0,NO,YES,YES,NO,4,0
ID12444,51,FEMALE,INNER_CITY,19416.8,YES,0,NO,YES,YES,NO,4,0
ID12449,63,MALE,INNER_CITY,37930.9,YES,0,NO,YES,NO,YES,4,0
ID12465,56,FEMALE,TOWN,51299.3,YES,1,YES,YES,NO,NO,4,0
ID12467,59,FEMALE,INNER_CITY,29866.9,NO,1,YES,NO,YES,NO,4,0
ID12468,56,MALE,INNER_CITY,47750.2,YES,0,YES,YES,YES,YES,4,0
ID12477,58,FEMALE,TOWN,33204.3,NO,1,NO,NO,NO,YES,4,0
ID12478,40,MALE,INNER_CITY,24823.5,NO,2,NO,NO,YES,NO,4,0
ID12483,30,MALE,INNER_CITY,14606.6,YES,1,NO,NO,YES,NO,4,0
ID12487,49,MALE,INNER_CITY,15689.1,NO,0,NO,NO,YES,NO,4,0
